동,연도,총인구수,남자인구수,여자인구수
고잔동,2016,20964,10562,10402
고잔동,2017,20883,10461,10422
고잔동,2018,21792,10938,10854
고잔동,2019,22548,11325,11223
고잔동,2020,21940,10956,10984
고잔동,2021,21554,10787,10767
고잔동,2022,21080,10559,10521
고잔동,2023,20396,10135,10261
고잔동,2024,19918,9923,9995
고잔동,2025,19521,9722,9799
대부동,2016,8171,4267,3904
대부동,2017,8370,4384,3986
대부동,2018,8543,4482,4061
대부동,2019,8550,4472,4078
대부동,2020,8800,4621,4179
대부동,2021,9060,4756,4304
대부동,2022,9240,4871,4369
대부동,2023,9205,4819,4386
대부동,2024,9168,4720,4448
대부동,2025,9112,4725,4387
반월동,2016,20266,10290,9976
반월동,2017,19719,10011,9708
반월동,2018,19086,9671,9415
반월동,2019,18549,9381,9168
반월동,2020,18085,9113,8972
반월동,2021,17516,8837,8679
반월동,2022,17162,8636,8526
반월동,2023,16831,8476,8355
반월동,2024,16559,8360,8199
반월동,2025,17718,8927,8791
백운동,2016,5847,3077,2770
백운동,2017,19816,10088,9728
백운동,2018,18501,9416,9085
백운동,2019,19098,9716,9382
백운동,2020,18463,9379,9084
백운동,2021,21344,10723,10621
백운동,2022,21241,10668,10573
백운동,2023,24221,12166,12055
백운동,2024,24061,12073,11988
백운동,2025,23751,11886,11865
본오1동,2016,43591,22369,21222
본오1동,2017,43250,22185,21065
본오1동,2018,41487,21297,20190
본오1동,2019,39694,20430,19264
본오1동,2020,38101,19692,18409
본오1동,2021,37238,19342,17896
본오1동,2022,36756,19097,17659
본오1동,2023,35589,18515,17074
본오1동,2024,34738,18031,16707
본오1동,2025,34092,17694,16398
본오2동,2016,30631,15122,15509
본오2동,2017,30212,14951,15261
본오2동,2018,29052,14411,14641
본오2동,2019,27908,13829,14079
본오2동,2020,26840,13303,13537
본오2동,2021,26186,12989,13197
본오2동,2022,25570,12667,12903
본오2동,2023,24928,12238,12690
본오2동,2024,24335,11955,12380
본오2동,2025,23835,11754,12081
본오3동,2016,23437,11663,11774
본오3동,2017,22882,11355,11527
본오3동,2018,21732,10786,10946
본오3동,2019,21030,10468,10562
본오3동,2020,20156,10039,10117
본오3동,2021,19572,9743,9829
본오3동,2022,19210,9563,9647
본오3동,2023,18627,9292,9335
본오3동,2024,18120,9071,9049
본오3동,2025,17813,8891,8922
부곡동,2016,24243,12372,11871
부곡동,2017,24274,12430,11844
부곡동,2018,23450,12059,11391
부곡동,2019,22697,11682,11015
부곡동,2020,21944,11328,10616
부곡동,2021,21624,11108,10516
부곡동,2022,21327,10950,10377
부곡동,2023,20808,10673,10135
부곡동,2024,20217,10386,9831
부곡동,2025,19840,10222,9618
사동,2016,38752,20104,18648
사동,2017,38273,19917,18356
사동,2018,36034,18726,17308
사동,2019,34674,18031,16643
사동,2020,33015,17288,15727
사동,2021,32603,17137,15466
사동,2022,31670,16661,15009
사동,2023,30099,15812,14287
사동,2024,29292,15435,13857
사동,2025,28799,15199,13600
사이동,2016,35761,18071,17690
사이동,2017,35135,17823,17312
사이동,2018,33819,17157,16662
사이동,2019,32883,16695,16188
사이동,2020,32968,16695,16273
사이동,2021,32581,16491,16090
사이동,2022,31838,16102,15736
사이동,2023,31111,15732,15379
사이동,2024,30362,15370,14992
사이동,2025,29696,15018,14678
선부1동,2016,12861,6644,6217
선부1동,2017,11639,6000,5639
선부1동,2018,11601,5963,5638
선부1동,2019,11387,5853,5534
선부1동,2020,17747,9100,8647
선부1동,2021,17672,9070,8602
선부1동,2022,17348,8819,8529
선부1동,2023,17072,8695,8377
선부1동,2024,16820,8578,8242
선부1동,2025,16610,8420,8190
선부2동,2016,22633,12211,10422
선부2동,2017,21966,11913,10053
선부2동,2018,20252,10997,9255
선부2동,2019,18387,9999,8388
선부2동,2020,16498,8981,7517
선부2동,2021,15948,8620,7328
선부2동,2022,15627,8417,7210
선부2동,2023,14734,7949,6785
선부2동,2024,17258,9190,8068
선부2동,2025,17088,9073,8015
선부3동,2016,35602,18198,17404
선부3동,2017,35177,17965,17212
선부3동,2018,37354,19139,18215
선부3동,2019,36713,18811,17902
선부3동,2020,35320,18143,17177
선부3동,2021,34549,17758,16791
선부3동,2022,34057,17505,16552
선부3동,2023,33122,17004,16118
선부3동,2024,32358,16618,15740
선부3동,2025,31654,16273,15381
성포동,2016,26652,13124,13528
성포동,2017,26387,13008,13379
성포동,2018,27661,13684,13977
성포동,2019,27961,13779,14182
성포동,2020,26833,13152,13681
성포동,2021,26272,12847,13425
성포동,2022,25562,12480,13082
성포동,2023,25096,12238,12858
성포동,2024,24626,12038,12588
성포동,2025,24191,11800,12391
신길동,2016,16409,8242,8167
신길동,2017,24889,13246,11643
신길동,2018,23880,12771,11109
신길동,2019,23109,12327,10782
신길동,2020,22665,12150,10515
신길동,2021,22471,12061,10410
신길동,2022,22080,11849,10231
신길동,2023,21222,11399,9823
신길동,2024,20787,11182,9605
신길동,2025,20412,10934,9478
안산동,2016,10079,5225,4854
안산동,2017,9958,5160,4798
안산동,2018,9530,4953,4577
안산동,2019,9301,4826,4475
안산동,2020,9106,4752,4354
안산동,2021,9130,4794,4336
안산동,2022,8898,4672,4226
안산동,2023,8674,4568,4106
안산동,2024,8370,4390,3980
안산동,2025,8094,4262,3832
와동,2016,44747,23489,21258
와동,2017,44010,23104,20906
와동,2018,41653,21915,19738
와동,2019,39778,20983,18795
와동,2020,38957,20554,18403
와동,2021,38243,20194,18049
와동,2022,37519,19904,17615
와동,2023,36697,19542,17155
와동,2024,35711,19028,16683
와동,2025,35023,18681,16342
원곡동,2016,33004,17880,15124
원곡동,2017,7704,4503,3201
원곡동,2018,7084,4096,2988
원곡동,2019,6646,3841,2805
원곡동,2020,6272,3609,2663
원곡동,2021,6045,3471,2574
원곡동,2022,5908,3365,2543
원곡동,2023,5613,3182,2431
원곡동,2024,5367,3032,2335
원곡동,2025,5330,3010,2320
월피동,2016,45366,23218,22148
월피동,2017,44518,22827,21691
월피동,2018,42080,21496,20584
월피동,2019,40215,20543,19672
월피동,2020,38604,19747,18857
월피동,2021,38102,19447,18655
월피동,2022,37580,19166,18414
월피동,2023,36464,18638,17826
월피동,2024,35574,18211,17363
월피동,2025,34928,17893,17035
이동,2016,28988,15303,13685
이동,2017,28391,14998,13393
이동,2018,26527,14070,12457
이동,2019,25209,13401,11808
이동,2020,23979,12811,11168
이동,2021,23874,12812,11062
이동,2022,23515,12657,10858
이동,2023,22805,12336,10469
이동,2024,22498,12240,10258
이동,2025,22178,12082,10096
일동,2016,28258,14340,13918
일동,2017,28311,14362,13949
일동,2018,27235,13845,13390
일동,2019,26073,13276,12797
일동,2020,25009,12731,12278
일동,2021,24691,12606,12085
일동,2022,24413,12444,11969
일동,2023,23444,11959,11485
일동,2024,22752,11618,11134
일동,2025,22283,11419,10864
중앙동,2016,21884,10860,11024
중앙동,2017,21487,10666,10821
중앙동,2018,24502,12148,12354
중앙동,2019,26065,12953,13112
중앙동,2020,25138,12523,12615
중앙동,2021,24506,12227,12279
중앙동,2022,23298,11574,11724
중앙동,2023,23549,11759,11790
중앙동,2024,24288,12053,12235
중앙동,2025,23514,11695,11819
초지동,2016,43008,21956,21052
초지동,2017,42637,21811,20826
초지동,2018,42217,21602,20615
초지동,2019,47944,24552,23392
초지동,2020,47015,24127,22888
초지동,2021,46921,24090,22831
초지동,2022,46508,23912,22596
초지동,2023,45838,23428,22410
초지동,2024,45437,23218,22219
초지동,2025,45944,23498,22446
해양동,2016,19833,10278,9555
해양동,2017,19434,10075,9359
해양동,2018,18618,9587,9031
해양동,2019,18419,9448,8971
해양동,2020,37248,18801,18447
해양동,2021,41279,20790,20489
해양동,2022,41163,20716,20447
해양동,2023,40391,20246,20145
해양동,2024,39748,19916,19832
해양동,2025,39272,19669,19603
호수동,2016,48872,24529,24343
호수동,2017,48388,24342,24046
호수동,2018,46653,23492,23161
호수동,2019,46080,23145,22935
호수동,2020,44212,22209,22003
호수동,2021,43745,21946,21799
호수동,2022,43090,21686,21404
호수동,2023,42772,21527,21245
호수동,2024,42215,21234,20981
호수동,2025,41810,21062,20748
